Name,Sex,Age,Height,Weight,Team,Games,Year,Season,City,Event,Medal
"Aaron J. ""AJ"" Bear",M,25,170,83.12,AUS,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Downhill,
Abraham Sarkakhyan,M,19,173,70.84,ARM,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,
Achim Vogt,M,31,179,86.43,LIE,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Giant Slalom,
Adam Lamhamedi,M,18,170,77.09,MAR,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Slalom,
Adolf Mathis,M,21,165,70.98,SUI,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing Men's Slalom,
Adrien Duvillard,M,23,168,75.72,FRA,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Downhill,
Adrien Thaux,M,29,182,83.39,FRA,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Downhill,
Agnese boltia,F,17,166,61.34,LAT,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Giant Slalom,
Agnieszka Anna Gsienica-Daniel,F,22,159,58.72,POL,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Slalom,
Agustn Torres Gutirrez,M,30,171,73.37,ARG,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Slalom,
Ahmet Kbl,M,23,142,55.19,TUR,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Men's Slalom,
Aimo Antero Vartiainen,M,20,162,56.5,FIN,1948 Winter,1948,Winter,Sankt Moritz,Alpine Skiing Men's Slalom,
Aksel Lund Svindal,M,27,189,100.51,NOR,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Super G,Gold
Alain Baxter,M,28,179,76.26,GBR,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Slalom,
Alain Feutrier,M,19,170,78.7,FRA,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Giant Slalom,
Alain Penz,M,24,169,63,FRA,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Giant Slalom,
Alain Villiard,M,22,182,77.72,CAN,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Super G,
Alan Stewart,M,24,168,66.73,GBR,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Men's Giant Slalom,
Albert Burger,M,20,176,70.66,FRG,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Men's Slalom,
Albert Llovera Massana,M,17,171,66.3,AND,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Giant Slalom,
Alberto Ghidoni,M,21,175,81.02,ITA,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Giant Slalom,
Alberto Senigagliesi,M,21,175,71.17,ITA,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Super G,
Alberto Tomba,M,25,182,93.05,ITA,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Giant Slalom,Gold
Ale Brezavek,M,25,184,88.56,SLO,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Downhill,
Ale Gorza,M,29,180,84.29,SLO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Giant Slalom,
Alekhis Fotiadis,M,24,186,85.63,CYP,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Giant Slalom,
Aleksander Aamodt Kilde,M,21,181,91.25,NOR,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Combined,
"Aleksandr ""Alek"" Glebov",M,30,180,84.18,RUS,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Downhill,
Aleksandr Vasilyevich Zhirov,M,21,183,80.15,URS,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Men's Slalom,
Aleksandr Viktorovich Khoroshilov,M,25,182,80.86,RUS,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Super G,
Alenka Dovan,F,18,164,61.29,SLO,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Combined,Bronze
Alessandra Merlin,F,22,162,58.98,ITA,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Downhill,
Alessandro Fattori,M,28,177,83.11,ITA,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Combined,
Alessia Afi Dipol,F,18,168,59.63,TOG,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Slalom,
Alex Antor Seignourel,M,26,187,85.82,AND,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,
"Alexander ""Alex"" Heath",M,23,175,76.16,RSA,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Combined,
Alexandra Coletti,F,26,164,60.6,MON,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Giant Slalom,
"Alexandra Luise ""Alex"" Shaffer (-Wubbels)",F,22,170,70.72,USA,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Giant Slalom,
Alexandra Meissnitzer,F,24,165,63.63,AUT,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Super G,Bronze
Alexandra Munteanu,F,22,161,54.78,ROU,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Downhill,
Alexandre Mohbat,M,18,184,76.76,LIB,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
Alfred Hagn,M,23,178,75.03,FRG,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Giant Slalom,
Alfred Peik Christensen,M,19,185,73.64,NOR,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Downhill,
